filename,zip_path,title,alt_text,caption,description
long_logo.webp,assets/images/opt/long_logo.webp,Restwell horizontal logo,Restwell horizontal logo,,Horizontal Restwell brand logo.
logo.webp,assets/images/opt/logo.webp,Restwell logo,Restwell logo,,Restwell brand logo.
restwellinfinity.webp,assets/images/opt/restwellinfinity.webp,Restwell infinity mark,Restwell infinity mark,,Restwell infinity brand mark.
101-russel-drive-archive.webp,assets/images/journey/101-russel-drive-archive.webp,Bungalow before renovation,Restwell bungalow before renovation in Whitstable,The bungalow before its accessibility renovation.,Archive photograph showing the Restwell bungalow before renovation.
restwell-whitstable-beach-huts.webp,assets/images/stock/restwell-whitstable-beach-huts.webp,Whitstable beach huts,Colourful beach huts along the Whitstable coast,Colourful beach huts on the Whitstable seafront.,"Wide image of colourful beach huts by the sea near Whitstable, suitable for local area and coastal holiday content."
restwell-kent-woodland-paved-path.webp,assets/images/stock/opt/restwell-kent-woodland-paved-path.webp,Paved woodland path in Kent,Paved woodland path through trees in Kent,A quiet paved woodland route through Kent.,Paved path winding through leafy woodland, suitable for gentle walks near Restwell.
restwell-kent-woodland-ferns.webp,assets/images/stock/opt/restwell-kent-woodland-ferns.webp,Ferns beside a woodland path,Ferns and wild plants beside a woodland path in Kent,Green woodland undergrowth beside a walking route.,Woodland floor covered with ferns and dappled light beside a Kent path.
restwell-canterbury-riverside-walk.webp,assets/images/stock/opt/restwell-canterbury-riverside-walk.webp,Canterbury riverside walk,People walking beside the river in Canterbury,A leafy riverside walk in Canterbury.,People enjoying a shaded walk beside a tree-lined river in Canterbury.
restwell-whitstable-beach-huts-sunset-slope.webp,assets/images/stock/opt/restwell-whitstable-beach-huts-sunset-slope.webp,Whitstable beach huts at sunset,Colourful Whitstable beach huts on the slope at sunset,Beach huts glowing in the evening light near Whitstable.,Colourful beach huts and the shoreline viewed from the Tankerton slope at sunset.
restwell-whitstable-pebble-beach-groynes.webp,assets/images/stock/opt/restwell-whitstable-pebble-beach-groynes.webp,Whitstable pebble beach and groynes,Pebble beach and wooden groynes along the Whitstable coast,The open pebble beach and sea at Whitstable.,Pebble beach with wooden groynes extending toward the sea near Whitstable.
restwell-whitstable-beach-huts-pier-view.webp,assets/images/stock/opt/restwell-whitstable-beach-huts-pier-view.webp,Whitstable beach huts and pier,Colourful beach huts with the Whitstable pier beyond,Beach huts and the pier along the Whitstable seafront.,Colourful seaside huts viewed along the coast with the pier visible beyond.
restwell-kent-woodland-trail.webp,assets/images/stock/opt/restwell-kent-woodland-trail.webp,Kent woodland trail,Woodland trail beneath arching trees in Kent,A shaded woodland trail for a gentle day out.,Leafy trail passing beneath mature trees in the Kent countryside.
